title,date,make,year,price,VIN,fuel,odometer,cylinders,paint color,title status,transmission,type,link
1999 Acura Integra GS,2017-09-03 22:50,acura,1999,$3000,NOT INDICATED,gas,127073,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1999-acura-integra-gs/6289838928.html
Nissan Altima Hybrid 2009,2017-09-03 22:49,nissan,2009,$8,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/nissan-altima-hybrid-2009/6270172925.html
2009 toyota camry se,2017-09-03 22:47,toyota,2009,$6500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2009-toyota-camry-se/6292228884.html
Ford f 350 diesel,2017-09-03 22:46,ford,1950,NOT INDICATED,NOT INDICATED,diesel,NOT INDICATED,NOT INDICATED,NOT INDICATED,rebuilt,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/ford-350-diesel/6278274073.html
2008 dodge ram 3500 mega cab,2017-09-03 22:44,NOT INDICATED,2008,NOT INDICATED,NOT INDICATED,diesel,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2008-dodge-ram-3500-mega-cab/6283116736.html
"2003 Chevy Tahoe LT, 2WD  B/O",2017-09-03 22:44,chevy,2003,$3750,NOT INDICATED,gas,202150,8 cylinders,black,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2003-chevy-tahoe-lt-2wd-o/6257489724.html
Old truck for sale,2017-09-03 22:43,NOT INDICATED,NOT INDICATED,$1000,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,lien,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/old-truck-for-sale/6292227297.html
1998 Ford Ranger,2017-09-03 22:42,ford,1998,$3800,NOT INDICATED,gas,163000,6 cylinders,brown,clean,automatic,truck,https://sacramento.craigslist.org/cto/d/1998-ford-ranger/6273105868.html
1999 Mercedes Benz E 430,2017-09-03 22:39,NOT INDICATED,1999,$2500,NOT INDICATED,gas,138036,6 cylinders,black,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1999-mercedes-benz-430/6292226005.html
Lincoln navigator,2017-09-03 22:37,lincoln,NOT INDICATED,$6100,NOT INDICATED,gas,153,8 cylinders,white,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/lincoln-navigator/6262997897.html
2013 Volkswagen Passat Sport Edition,2017-09-03 22:37,volkswagen,2013,$9700,NOT INDICATED,gas,47450,5 cylinders,grey,salvage,automatic,sedan,https://sacramento.craigslist.org/cto/d/2013-volkswagen-passat-sport/6292225081.html
2000 DODGE GRAND CARAVAN 95K SMOGGED/TAGGED THRU JAN 18,2017-09-03 22:35,dodge,2000,$2800,NOT INDICATED,gas,NOT INDICATED,6 cylinders,green,clean,automatic,van,https://sacramento.craigslist.org/cto/d/2000-dodge-grand-caravan-95k/6292224248.html
"2011 crown victoria, lots of police equipment included, cold ac",2017-09-03 22:34,ac,2011,$4800,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2011-crown-victoria-lots-of/6258760623.html
Toyota Camry 5 speed,2017-09-03 22:32,toyota,NOT INDICATED,$700,NOT INDICATED,gas,NOT INDICATED,4 cylinders,custom,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/toyota-camry-5-speed/6287837837.html
2001 Ford F150 Supercrew 4dr Pickup Truck,2017-09-03 22:32,ford,2001,$5000,NOT INDICATED,gas,150000,8 cylinders,white,salvage,automatic,truck,https://sacramento.craigslist.org/cto/d/2001-ford-f150-supercrew-4dr/6289938862.html
2000 Honda Prelude sh Turbo Greddy Built Engine Parting out,2017-09-03 22:31,honda,2000,$1,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2000-honda-prelude-sh-turbo/6289891586.html
1957 Ranchero,2017-09-03 22:30,NOT INDICATED,1957,$24000,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1957-ranchero/6292222526.html
1998 Toyota Tacoma pick up clean tittle 5spd runs great!,2017-09-03 22:30,toyota,1998,$2500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1998-toyota-tacoma-pick-up/6292222308.html
2000 DODGE GRAND CARAVAN 95K REG THRU JAN 18,2017-09-03 22:29,dodge,2000,$2800,NOT INDICATED,gas,95,6 cylinders,green,clean,automatic,van,https://sacramento.craigslist.org/cto/d/2000-dodge-grand-caravan-95k/6292222175.html
1998 YAMAHA 650 classic,2017-09-03 22:23,NOT INDICATED,1998,$2600,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1998-yamaha-650-classic/6292219705.html
2000 Acura Integra,2017-09-03 22:22,acura,2000,$2500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2000-acura-integra/6292187169.html
1994 chevy extended cab,2017-09-03 22:22,chevy,1994,$1900,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1994-chevy-extended-cab/6292219078.html
2008 KIA Rio 105k miles,2017-09-03 22:21,kia,2008,$3650,NOT INDICATED,gas,105164,4 cylinders,black,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2008-kia-rio-105k-miles/6284518443.html
2007 Dodge Ram 2500 Cummins Turbo Diesel Lifted,2017-09-03 22:20,NOT INDICATED,2007,$1,1D7KS28C67J540766,diesel,122000,6 cylinders,brown,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2007-dodge-ram-2500-cummins/6289783139.html
1975 MAVERICK EVERY OPTION FOR YEAR V8/PRICE DROP FS/FT,2017-09-03 22:20,NOT INDICATED,1975,$5500,NOT INDICATED,gas,NOT INDICATED,8 cylinders,brown,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1975-maverick-every-option/6265262369.html
Dodge Caliber SRT4,2017-09-03 22:19,dodge,NOT INDICATED,$10000,NOT INDICATED,gas,85000,4 cylinders,silver,clean,manual,wagon,https://sacramento.craigslist.org/cto/d/dodge-caliber-srt4/6277572378.html
Classic Ford Maverick 2 Door V8 All Original,2017-09-03 22:18,ford,NOT INDICATED,$5000,NOT INDICATED,gas,NOT INDICATED,8 cylinders,brown,clean,automatic,coupe,https://sacramento.craigslist.org/cto/d/classic-ford-maverick-2-door/6292217617.html
1975 MAVERICK EVERY OPTION FOR YEAR V8,2017-09-03 22:18,NOT INDICATED,1975,$5000,NOT INDICATED,gas,NOT INDICATED,8 cylinders,brown,clean,automatic,coupe,https://sacramento.craigslist.org/cto/d/1975-maverick-every-option/6292217469.html
94 ford E350 cargo van,2017-09-03 22:18,ford,1994,$2000,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/94-ford-e350-cargo-van/6285968298.html
"2001 Acura Mdx, clean title, highwaymile",2017-09-03 22:16,acura,2001,$3400,NOT INDICATED,gas,193000,6 cylinders,green,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/2001-acura-mdx-clean-title/6292216802.html
"2007 toyota yaris, clean title, smogged, 77k miles",2017-09-03 22:15,toyota,2007,$3750,000000,gas,077000,4 cylinders,silver,clean,automatic,hatchback,https://sacramento.craigslist.org/cto/d/2007-toyota-yaris-clean-title/6292216115.html
1978 c3 corvette anniversary edition,2017-09-03 22:14,NOT INDICATED,1978,$5500,NOT INDICATED,gas,52000,8 cylinders,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1978-c3-corvette-anniversary/6276064540.html
1998 DODGE RAM 1500,2017-09-03 22:13,NOT INDICATED,1998,$750,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1998-dodge-ram-1500/6292215492.html
Bmw X5,2017-09-03 22:13,bmw,NOT INDICATED,$3500,NOT INDICATED,gas,171000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/bmw-x5/6278025611.html
